ate/Time,Temp,App,Dew,Rel,Delta-T,Wind,,,,,Press,Press,Rain since
EST,°C,Temp,Point,Hum,°C,,,,,,QNH,MSL,9am
,,°C,°C,%,,Dir ,Spd,Gust,Spd,Gust,hPa,hPa,mm
,,,,,,,km/h,km/h,kts,kts,,,
15/11:30pm,11.9,8.9,4.2,59,3.5,W,9,-,5,-,1022.9,1022.9,0
15/11:00pm,12.5,9.3,3.2,53,4.1,WNW,9,-,5,-,1023.1,1023.1,0
15/10:30pm,12.6,9.2,3.8,55,4,WNW,11,-,6,-,1023,1023,0
15/10:00pm,13.1,10.2,2.4,48,4.7,NW,7,-,4,-,1022.9,1022.9,0
15/09:30pm,12.8,9.5,2.6,50,4.5,WNW,9,-,5,-,1022.9,1022.9,0
15/09:00pm,13.4,9.9,3.5,51,4.4,WNW,11,-,6,-,1022.8,1022.8,0
15/08:30pm,13.8,10.8,3.9,51,4.5,W,9,-,5,-,1022.7,1022.7,0
15/08:00pm,14.5,10.8,2.1,43,5.4,WNW,11,-,6,-,1022.4,1022.4,0
15/07:30pm,15.2,11.9,2.7,43,5.6,NW,9,-,5,-,1022.4,1022.4,0
15/07:00pm,16.1,12.9,2.9,41,6,WNW,9,-,5,-,1022.5,1022.5,0
15/06:30pm,15.8,12.8,2.2,40,6.1,W,7,-,4,-,1022.2,1022.2,0
15/06:00pm,15.5,13,3.6,45,5.4,NW,6,-,3,-,1021.8,1021.8,0
15/05:30pm,17.2,14.6,1.2,34,7.1,WNW,4,-,2,-,1021.3,1021.3,0
15/05:00pm,18.2,15.2,0.8,31,7.7,SW,6,-,3,-,1021.1,1021.1,0
15/04:30pm,19,16.3,0.6,29,8.2,WNW,4,-,2,-,1021,1021,0
15/04:00pm,21.2,17.7,1.5,27,9,NW,9,-,5,-,1021.1,1021.1,0
15/03:30pm,21.6,17.6,0.8,25,9.5,WNW,11,-,6,-,1021.2,1021.2,0
15/03:00pm,22,19,2.2,27,9.3,NW,7,-,4,-,1021.2,1021.2,0
15/02:30pm,21.6,16.8,0.2,24,9.6,WNW,15,-,8,-,1021.4,1021.4,0
15/02:00pm,21.5,17,-0.5,23,9.7,WNW,13,-,7,-,1021.8,1021.8,0
15/01:30pm,21.3,16.9,0.5,25,9.4,W,13,-,7,-,1022.1,1022.1,0
15/01:00pm,20.9,16,1.7,28,8.8,W,17,-,9,-,1022.8,1022.8,0
15/12:30pm,20.6,15.7,2,29,8.6,WNW,17,-,9,-,1023.4,1023.4,0
15/12:00pm,19.9,15.1,-0.1,26,8.8,WNW,15,-,8,-,1023.7,1023.7,0
15/11:30am,19.6,14.9,2.9,33,7.8,W,17,-,9,-,1024.3,1024.3,0
15/11:00am,18.7,14.6,4.5,39,6.8,WNW,15,-,8,-,1024.9,1024.9,0
15/10:30am,16.5,12,6.3,51,5,WNW,19,-,10,-,1025.3,1025.3,0
15/10:00am,14.9,9.5,6.5,57,4.1,WNW,24,-,13,-,1025.7,1025.7,0
15/09:30am,13.8,8.6,7.3,65,3.2,WNW,24,-,13,-,1025.9,1025.9,0
15/09:00am,11.9,7,7,72,2.3,WNW,22,-,12,-,1025.8,1025.8,0
15/08:30am,10.7,5.8,7,78,1.8,W,22,-,12,-,1025.8,1025.8,0
15/08:00am,9.4,5,7.5,88,0.9,WNW,20,-,11,-,1026,1026,0
15/07:30am,8.7,4.8,7,89,0.8,WNW,17,-,9,-,1026,1026,0
15/07:00am,8.5,4.6,7,90,0.7,WNW,17,-,9,-,1025.9,1025.9,0
15/06:30am,8.6,4.1,7.1,90,0.7,W,20,-,11,-,1025.9,1025.9,0
15/06:00am,9,4.6,7.6,91,0.7,WNW,20,-,11,-,1025.8,1025.8,0
15/05:30am,9.3,5,7.9,91,0.7,W,20,-,11,-,1025.7,1025.7,0
15/05:00am,9.5,5.3,8.1,91,0.7,W,20,-,11,-,1025.5,1025.5,0
15/04:30am,9.7,5.5,8.3,91,0.7,W,20,-,11,-,1025.4,1025.4,0
15/04:00am,9.9,6.3,8.5,91,0.7,W,17,-,9,-,1025.5,1025.5,0
15/03:30am,10.1,6.9,8.5,90,0.8,WNW,15,-,8,-,1025.5,1025.5,0
15/03:00am,10.3,7.5,8.6,89,0.8,WNW,13,-,7,-,1025.5,1025.5,0
15/02:30am,10.5,8,8.4,87,1,WNW,11,-,6,-,1025.6,1025.6,0
15/02:00am,10.9,8.5,8.7,86,1.1,WNW,11,-,6,-,1026.1,1026.1,0
15/01:30am,10.7,8.3,8.8,88,0.9,WNW,11,-,6,-,1026.5,1026.5,0
15/01:00am,11.1,8.9,9.2,88,0.9,WNW,11,-,6,-,1026.9,1026.9,0
15/12:30am,11.5,8.5,9.4,87,1.1,W,15,-,8,-,1027,1027,0
15/12:00am,12,8.7,9.6,85,1.2,W,17,-,9,-,1027.2,1027.2,0
